chunk;assetRecord;slot;idHex;textEN;textFR;status
0;62;0;f9c3bb0ed534b806;TRAM AIRLOCK;SAS DU TRAM;TRANSLATED_PRODUCTION
0;62;1;af97b859db39b806;PUMP HANDLE;MANIVELLE DE POMPE;TRANSLATED_PRODUCTION
0;62;2;ac91b35bd03ab906;Report image;Signaler : image;TRANSLATED_PRODUCTION
0;62;3;ffc4bc05d23fb906;Report connection;Signaler : connexion;TRANSLATED_PRODUCTION
0;62;4;a390e90dd26eba06;PULSAR;PULSAR;PROPER_NOUN_KEEP
0;62;5;fcc3bb5fd46fba06;CLOAK EMITTER;EMETTEUR DE CAMOUFLAGE;TRANSLATED_PRODUCTION
0;62;6;fecabe598035bd06;WAN;WAN;PROPER_NOUN_KEEP
0;62;7;ae95bc098569bd06;UNKNOWN DEVICE;APPAREIL INCONNU;TRANSLATED_PRODUCTION
0;62;8;ffc7eb5f8734be06;Report docking status;Signaler : état d'amarrage;TRANSLATED_PRODUCTION
0;62;9;ac91b35cd234be06;SECURITY TERMINAL;TERMINAL DE SECURITE;TRANSLATED_PRODUCTION
0;62;10;f992bb59d36ebe06;Check Liv's status;Vérifier l'état de Liv;TRANSLATED_PRODUCTION
0;62;11;f9cbbf5fd16ebf06;UNKNOWN STRUCTURE;STRUCTURE INCONNUE;TRANSLATED_PRODUCTION
0;62;12;ab92e85f876fbf06;EVANOFF;EVANOFF;PROPER_NOUN_KEEP
0;62;13;f9c4b3088034e206;UNKNOWN ROOM;PIECE INCONNUE;TRANSLATED_PRODUCTION
0;62;14;aec4bb59d66de206;POSTER (JUPITER);AFFICHE (JUPITER);TRANSLATED_PRODUCTION
0;62;15;ab90e959d235e306;UNKNOWN PANEL;PANNEAU INCONNU;TRANSLATED_PRODUCTION
0;62;16;fcc2bb5c863be306;Report dedication;Signaler : dédicace;TRANSLATED_PRODUCTION
0;62;17;fe97ee5f873be306;DR. HARLAN;DR. HARLAN;PROPER_NOUN_KEEP
0;62;18;ff95bd08d039e806;Report device;Signaler : appareil;TRANSLATED_PRODUCTION
0;62;19;f892e90ad539e806;Report bed;Signaler : lit;TRANSLATED_PRODUCTION
0;62;20;a295eb08d368e806;Report arcade machine;Signaler : borne d'arcade;TRANSLATED_PRODUCTION
0;62;21;a892b80b8235e906;Report monitor;Signaler : moniteur;TRANSLATED_PRODUCTION
0;62;22;f9c0b85cd73be906;Report dino;Signaler : dinosaure;TRANSLATED_PRODUCTION
0;62;23;fbcbbf08856de906;5136;5136;TECHNICAL_KEEP_EN
0;62;24;f992ba09d66ee906;DATA PORT (BROKEN);PORT DE DONNEES (HORS SERVICE);TRANSLATED_PRODUCTION
0;62;25;ff91be5b813eea06;JUNCTION SWITCH;COMMUTATEUR DE JONCTION;TRANSLATED_PRODUCTION
0;62;26;f895b908853fea06;Report gantry;Signaler : portique;TRANSLATED_PRODUCTION
0;62;27;aa95bb58d634eb06;DATABASE TERMINAL;TERMINAL DE BASE DE DONNEES;TRANSLATED_PRODUCTION
0;62;28;fbc0bc0bd368eb06;Ready to proceed;Prêt à continuer;TRANSLATED_PRODUCTION
0;62;29;aa91bd09da3dec06;Report suit;Signaler : combinaison;TRANSLATED_PRODUCTION
0;62;30;a297b209d038ed06;"""JACK"" HUSK";"CARCASSE DE ""JACK""";GLYPH_SAFE_REVISED
0;62;31;acc0b95cd068ed06;THE ARGOS;THE ARGOS;PROPER_NOUN_KEEP
0;62;32;f891bd0cd06aed06;Report Door;Signaler : porte;TRANSLATED_PRODUCTION
0;62;33;afc7ee05d66ded06;LIV;LIV;PROPER_NOUN_KEEP
0;62;34;fe97e90b8135ee06;BOBBLE HEAD;FIGURINE A TETE MOBILE;TRANSLATED_PRODUCTION
