chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;englishChars;oldChars;newChars;status
0;65;6;1b202f251241ed24;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
0;158;92;dc6330830969af42;Would you like me to cheer you up?;Tu veux que je te remonte le moral;Je te remonte le moral ?;34;34;24;QUESTION_QA_V0.8.58.4.8
16;53;31;7acaef5acae7d782;We're not at war are we?;On est pas en guerre, si;On n'est pas en guerre ?;24;24;24;QUESTION_QA_V0.8.58.4.8
16;53;43;7296ee0fcfb78184;We're not at war are we?;On est pas en guerre, si;On n'est pas en guerre ?;24;24;24;QUESTION_QA_V0.8.58.4.8
16;53;177;14374dd46811e2a2;We're not at war are we?;On est pas en guerre, si;On n'est pas en guerre ?;24;24;24;QUESTION_QA_V0.8.58.4.8
16;169;44;0d5714384fa5eeb2;So we're just supposed to sit here and do nothing?;Donc on est juste censés rester là sans rien faire;On est censés rester là sans rien faire ?;50;50;41;QUESTION_QA_V0.8.58.4.8
16;169;276;0d54163d4fa5eeb2;Lets keep it moving, shall we?;Continuons d'avancer, d'accord;On continue d'avancer ?;30;30;23;QUESTION_QA_V0.8.58.4.8
16;173;11;71cbd8a2a3dd10a3;Where do we start?;Par où on commence;Par où commencer ?;18;18;18;QUESTION_QA_V0.8.58.4.8
16;190;12;6faba0fdfaf7858a;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
16;190;46;3ba3f7fdfeaad78c;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
16;190;48;69a2a0fca9a8808d;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
16;190;51;3faff6f8ffff828d;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
16;190;53;3eaea1ffaffdd08d;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
16;190;67;3dabfcf8feff828f;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
16;190;82;3fa8a6f7adfcd5d6;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
16;190;84;6eabf1f6feadddd6;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
16;190;86;3fa3f4fefafdddd6;I KNOW you're not still throwing things, right Jack?;Dis-moi que tu lances pas encore des objets, Jack.;Dis-moi que tu lances pas encore des objets, Jack ?;52;50;51;QUESTION_QA_V0.8.58.4.8
